"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000003204.mm.2"	41.79277	39.405052	40.580353	40.27462	37.26467	40.42436
"TC1000003205.mm.2"	24.01721	27.19984	24.324257	26.590063	28.938562	25.634588
"TC1000003206.mm.2"	33.96783	30.406345	32.027668	26.752811	28.629608	28.026508
"TC1000003207.mm.2"	56.328922	49.512592	41.620487	44.19779	54.003395	40.545498
"TC1000003209.mm.2"	45.42426	48.464676	39.48235	43.018764	45.667908	38.346287
"TC1000003213.mm.2"	62.047237	54.72047	53.74385	59.711765	64.09619	47.78663
"TC1000003214.mm.2"	39.56648	41.36774	36.33009	39.64194	39.763535	42.861046
"TC1000003215.mm.2"	6209.1895	6714.6904	5449.9937	6612.0537	6690.7026	6786.9517
"TC1000003216.mm.2"	1983.2299	2152.6094	1962.2012	2453.6562	2066.2651	2515.9
"TC1000003217.mm.2"	203.16508	231.27133	230.34575	198.7067	189.49496	164.87312
"TC1000003218.mm.2"	58951.285	52336.73	61429.816	62120.465	52087.953	59965.785
"TC1000003219.mm.2"	57.614178	73.68646	70.017166	73.58949	54.275993	69.67583
"TC1000003220.mm.2"	1651.0946	1411.1289	1547.2642	1880.0701	1615.1907	1543.5457
"TC1000003221.mm.2"	71.455124	74.893745	62.94689	65.60252	60.52048	61.230747
"TC1000003224.mm.2"	2519.6545	2296.136	2940.9531	3333.5059	2810.2095	2301.1836
"TC1000003225.mm.2"	237.46405	243.49506	230.11998	283.65848	344.59332	352.84915
"TC1000003226.mm.2"	37.0384	59.285873	48.910168	89.91411	69.16286	106.561806
"TC1000003227.mm.2"	152.28448	156.27528	142.82426	158.95938	162.73558	161.26964
"TC1000003228.mm.2"	10391.441	10068.59	10745.054	9225.8545	8969.725	10711.34
"TC1000003229.mm.2"	35.41351	44.058823	33.20954	33.983162	36.405243	37.11629
"TC1000003230.mm.2"	26.373434	22.993023	24.055183	30.926615	30.560467	28.371784
"TC1000003231.mm.2"	35.107864	41.125664	44.53541	43.3009	38.160225	41.06408
"TC1100000005.mm.2"	1357.3887	1923.6337	1551.8942	1882.3184	1468.6066	2052.5498
"TC1100000007.mm.2"	647.98517	754.8246	830.3351	1385.5729	776.1333	981.29645
"TC1100000009.mm.2"	452.89487	567.9939	608.3446	525.97687	509.23355	680.93896
"TC1100000014.mm.2"	102.46599	82.60335	89.78689	78.73791	86.64432	83.85503
"TC1100000015.mm.2"	9974.606	10302.9	10026.116	10702.062	9987.592	11669.5
"TC1100000021.mm.2"	1549.0212	1774.3837	1857.707	1853.5181	1691.659	2019.5676
"TC1100000025.mm.2"	296.99277	261.406	408.34616	442.21753	394.78067	377.67957
"TC1100000028.mm.2"	10404.377	10945.699	10541.722	11401.299	12601.871	12001.596
"TC1100000029.mm.2"	80.08666	85.43739	70.468025	83.65679	71.97348	87.5391
"TC1100000032.mm.2"	41.533375	44.18523	31.919424	40.977444	33.873375	35.55441
"TC1100000033.mm.2"	70.60574	64.14725	75.652275	55.787586	52.308117	67.13575
"TC1100000035.mm.2"	461.15768	453.98322	343.64453	418.6427	437.32297	483.2497
"TC1100000037.mm.2"	13585.277	10693.3	12760.875	14830.438	12913.346	12704.415
"TC1100000038.mm.2"	378.38153	387.41586	319.21027	575.95	435.39844	459.7703
"TC1100000039.mm.2"	552.3814	611.7558	581.3195	711.1963	612.74335	627.59735
